================================================================================================================================================================
STRATEGY C OPTIMIZATION v6 — 20 CITIES + METAR CALIBRATION
================================================================================================================================================================

--- Phase 1: Baseline ---
  [  1] baseline_20cities                                                 | comp=   70.7769 | trades=3590 | sharpe=  11.99 | win= 69.2% | pnl= 177.4% | dd= 0.75% | 1s
  [ 94] mfp=0.65 maxp=0.46 s=1.05                                         | comp=   58.2651 | trades=1444 | sharpe=  15.47 | win= 77.8% | pnl=  52.6% | dd= 0.45% | 46s
  [ 95] mfp=0.65 maxp=0.46 s=1.1                                          | comp=   54.6005 | trades=1324 | sharpe=  15.14 | win= 77.0% | pnl=  45.5% | dd= 0.45% | 47s
  [ 96] mfp=0.65 maxp=0.46 s=1.15                                         | comp=   56.3073 | trades=1260 | sharpe=  15.97 | win= 78.4% | pnl=  45.1% | dd= 0.34% | 47s
  [ 97] mfp=0.65 maxp=0.46 s=1.2                                          | comp=   55.0487 | trades=1183 | sharpe=  16.11 | win= 78.8% | pnl=  43.1% | dd= 0.34% | 48s
  [ 98] mfp=0.65 maxp=0.5 s=1.05                                          | comp=   55.0487 | trades=1183 | sharpe=  16.11 | win= 78.8% | pnl=  43.1% | dd= 0.34% | 48s
  [ 99] mfp=0.65 maxp=0.5 s=1.1                                           | comp=   55.3582 | trades=1383 | sharpe=  15.02 | win= 77.3% | pnl=  47.0% | dd= 0.45% | 49s
  [100] mfp=0.65 maxp=0.5 s=1.15                                          | comp=   56.9490 | trades=1318 | sharpe=  15.79 | win= 78.5% | pnl=  46.5% | dd= 0.34% | 49s
  [101] mfp=0.65 maxp=0.5 s=1.2                                           | comp=   55.8532 | trades=1238 | sharpe=  15.98 | win= 79.0% | pnl=  44.5% | dd= 0.34% | 50s
  [102] mfp=0.65 maxp=0.55 s=1.05                                         | comp=   59.2445 | trades=1526 | sharpe=  15.27 | win= 78.1% | pnl=  54.5% | dd= 0.34% | 50s
  [103] mfp=0.65 maxp=0.55 s=1.1                                          | comp=   55.3933 | trades=1402 | sharpe=  14.93 | win= 77.3% | pnl=  47.3% | dd= 0.45% | 51s
  [104] mfp=0.65 maxp=0.55 s=1.15                                         | comp=   57.0460 | trades=1336 | sharpe=  15.71 | win= 78.6% | pnl=  46.8% | dd= 0.34% | 51s
  [105] mfp=0.65 maxp=0.55 s=1.2                                          | comp=   55.9768 | trades=1256 | sharpe=  15.90 | win= 79.1% | pnl=  44.8% | dd= 0.34% | 52s
  [106] mfp=0.7 maxp=0.4 s=1.05                                           | comp=   46.2710 | trades= 703 | sharpe=  17.57 | win= 79.4% | pnl=  24.3% | dd= 0.34% | 52s
  [107] mfp=0.7 maxp=0.4 s=1.1                                            | comp=   46.3873 | trades= 657 | sharpe=  18.22 | win= 80.5% | pnl=  23.4% | dd= 0.34% | 53s
  [108] mfp=0.7 maxp=0.4 s=1.15                                           | comp=   50.8943 | trades= 608 | sharpe=  20.73 | win= 83.8% | pnl=  23.3% | dd= 0.22% | 53s
  [109] mfp=0.7 maxp=0.4 s=1.2                                            | comp=   55.6507 | trades= 543 | sharpe=  23.99 | win= 87.0% | pnl=  22.4% | dd= 0.22% | 54s
  [110] mfp=0.7 maxp=0.43 s=1.05                                          | comp=   49.7017 | trades= 826 | sharpe=  17.41 | win= 80.1% | pnl=  27.9% | dd= 0.34% | 54s
  [111] mfp=0.7 maxp=0.43 s=1.1                                           | comp=   49.9563 | trades= 776 | sharpe=  18.06 | win= 81.1% | pnl=  26.8% | dd= 0.34% | 55s
  [112] mfp=0.7 maxp=0.43 s=1.15                                          | comp=   54.0120 | trades= 717 | sharpe=  20.31 | win= 83.9% | pnl=  26.5% | dd= 0.33% | 55s
  [113] mfp=0.7 maxp=0.43 s=1.2                                           | comp=   58.3030 | trades= 640 | sharpe=  23.20 | win= 87.0% | pnl=  25.3% | dd= 0.33% | 56s
  [114] mfp=0.7 maxp=0.46 s=1.05                                          | comp=   52.3864 | trades= 895 | sharpe=  17.63 | win= 80.9% | pnl=  29.9% | dd= 0.34% | 56s
